id,name,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,minimum_minimum_nights,minimum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,review_scores_rating,instant_bookable,washer_agg,shampoo|conditioner_agg,reviews_per_month, Baking sheet, Barbecue utensils, Bathtub, Beach essentials, Beachfront, Bed linens, Breakfast, Building staff, Carbon monoxide alarm, Ceiling fan, Changing table, Cleaning before checkout, Coffee maker, Cooking basics, Dedicated workspace, Dishes and silverware, Elevator, Essentials, Extra pillows and blankets, Fire extinguisher, First aid kit, Freezer, Game console, Garden or backyard, Gym, Hangers, Host greets you, Hot tub, Hot water, Indoor fireplace, Iron, Keypad, Kitchen, Laundromat nearby, Lock on bedroom door, Long term stays allowed, Luggage dropoff allowed, Microwave, Pool, Portable fans, Private entrance, Private living room, Single level home, Waterfront, Window guards,Cooking basics,Hot water,Kitchen,Long term stays allowed,Room-darkening shades,sound_agg,wifi|ethernet|internet_agg,HDTV|TV_agg,refrigerator_agg,Smart.*Lock|Smoke.*Alarm|Safe|Lockbox_agg,balcony_agg,stove_agg,oven_agg,body|gel_agg,BBQ_agg,air_agg,dryer_agg,baby_agg,free.*parking_agg,paid.*parking_agg,heating_agg,f_property_type,f_room_type,f_neighbourhood,bathrooms,ln_price,flag_review_scores_rating,flag_reviews_per_month,accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,ln_review_scores_rating,f_minimum_nights
593481,LovelyStudio Near Sydney University,"Darlington, New South Wales, Australia",Sydney,-33.89299,151.1965,Apartment,Entire_apt,2,1 bath,1,1,109,2,2,2,1,0,0,0,0,2020-12-16,65,0,98,0,1,1,0.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,4.6913478822291435,0,0,4,0.6931471805599453,0.4804530139182014,0,4.189654742026425,3,4.584967478670572,2
616822,Luxury Terrace Apartment,"Darlinghurst, New South Wales, Australia",Sydney,-33.87773,151.21481,Apartment,Entire_apt,2,1 bath,1,1,471,3,3,4.1,1,0,0,0,0,2020-12-16,6,0,97,0,1,1,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,Apartment,Entire_apt,Sydney,3,6.154858094016418,0,0,4,0.6931471805599453,0.4804530139182014,0,1.9459101490553132,2,4.574710978503383,3
637986,"Harbour Views, Resort Facilities!",,Sydney,-33.87631,151.21944,Apartment,Entire_apt,1,2 baths,2,1,264,3,3,3,1,0,12,42,317,2020-12-15,12,0,95,0,1,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,Apartment,Entire_apt,Sydney,6,5.575949103146316,0,0,1,0,0,0,2.5649493574615367,2,4.553876891600541,3
677230,Beautiful Water View Entire Apartment,"Elizabeth Bay, New South Wales, Australia",Sydney,-33.87123,151.23044,Apartment,Entire_apt,2,1 bath,0,1,78,120,120,120,1,0,0,14,289,2020-12-15,19,1,99,0,1,1,0.26,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,Apartment,Entire_apt,Sydney,3,4.356708826689592,0,0,4,0.6931471805599453,0.4804530139182014,0,2.995732273553991,2,4.59511985013459,3
686805,FAB SELF CONTAINED STUDIO IN SYDNEY,"Darlinghurst, New South Wales, Australia",Sydney,-33.87591,151.22205,Apartment,Entire_apt,2,1 bath,1,1,99,3,3,3,1,0,0,0,0,2020-12-16,357,11,93,0,1,1,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,Apartment,Entire_apt,Sydney,3,4.59511985013459,0,0,4,0.6931471805599453,0.4804530139182014,0,5.8805329864007,3,4.532599493153256,3
714131,Surry Hills:Luxury Apartment & Pool,,Sydney,-33.88687,151.20887,Apartment,Entire_apt,3,1 bath,1,2,93,365,365,365,1,1,1,1,1,2020-12-16,2,0,87,0,1,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Apartment,Entire_apt,Sydney,3,4.532599493153256,0,0,9,1.0986122886681098,1.206948960812582,0.6931471805599453,1.0986122886681098,2,4.465908118654584,3
725541,The Biggest Bed in Sydney + Parking,"Redfern, New South Wales, Australia",Sydney,-33.8921,151.20007,Apartment,Entire_apt,2,1 bath,1,1,94,2,2,2,1,4,4,4,4,2020-12-16,457,16,97,0,1,1,4.62,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,Apartment,Entire_apt,Sydney,3,4.543294782270004,0,0,4,0.6931471805599453,0.4804530139182014,0,6.126869184114185,3,4.574710978503383,2
746199,Stylish Penthouse Surry Hills Apt,,Sydney,-33.87934,151.21352,Apartment,Entire_apt,4,1.5 baths,2,2,100,2,2,2,1,0,0,0,0,2020-12-15,31,0,89,0,1,0,0.32,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,Apartment,Entire_apt,Sydney,4,4.605170185988092,0,0,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,3.4657359027997265,2,4.48863636973214,2
747430,Family friendly townhouse apartment - Redfern,"Redfern, New South Wales, Australia",Sydney,-33.89847,151.21311,Condominium,Entire_apt,5,2 baths,3,3,350,4,4,4,1,6,6,6,6,2020-12-16,5,1,92,0,1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,Condominium,Entire_apt,Sydney,6,5.857933154483459,0,0,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,1.791759469228055,2,4.5217885770490405,3
762194,Get a flat in the heart of Sydney,,Sydney,-33.88174,151.21741,Apartment,Private_room,4,1 bath,1,1,225,14,14,14,1,30,60,90,365,2020-12-15,0,0,96,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,Private_room,Sydney,3,5.41610040220442,1,1,16,1.3862943611198906,1.9218120556728056,0,0,1,4.564348191467836,3
767295,New Aircon! Spacious & Modern Walk to CBD,"Sydney, New South Wales, Australia",Sydney,-33.87302,151.2226,Apartment,Entire_apt,3,1 bath,1,2,112,2,2,3,1,10,40,70,345,2020-12-15,405,26,96,1,1,1,4.16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,Apartment,Entire_apt,Sydney,3,4.718498871295094,0,0,9,1.0986122886681098,1.206948960812582,0.6931471805599453,6.0063531596017325,3,4.564348191467836,2
777184,Oxford St Apartment w/ Gym Spa Pool,"Surry Hills, New South Wales, Australia",Sydney,-33.87773,151.21365,Apartment,Entire_apt,3,1 bath,1,1,500,9,9,9,1,30,60,90,365,2020-12-15,121,0,90,1,1,1,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,Apartment,Entire_apt,Sydney,3,6.214608098422191,0,0,9,1.0986122886681098,1.206948960812582,0,4.804021044733257,3,4.499809670330265,3
781631,"Quality apartment, Quality location",,Sydney,-33.86858,151.22606,Apartment,Private_room,2,1 bath,1,1,329,3,3,3,1,30,60,90,365,2020-12-15,27,0,92,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Apartment,Private_room,Sydney,3,5.796057750765372,0,0,4,0.6931471805599453,0.4804530139182014,0,3.332204510175204,2,4.5217885770490405,3
783928,Potts Point Apt - Regents Court A,"Potts Point, New South Wales, Australia",Sydney,-33.87255,151.22403,Apartment,Entire_apt,4,1 bath,1,1,149,3,3,3.2,1,0,0,0,0,2020-12-16,246,8,96,0,1,1,2.61,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,Apartment,Entire_apt,Sydney,3,5.003946305945459,0,0,16,1.3862943611198906,1.9218120556728056,0,5.5093883366279774,3,4.564348191467836,3
791521,"Great Location, Gorgeous View","Woolloomooloo, New South Wales, Australia",Sydney,-33.86837,151.22304,Apartment,Entire_apt,3,1 bath,2,2,250,3,3,3,1,0,0,0,0,2020-12-15,25,1,86,0,1,1,0.28,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,Apartment,Entire_apt,Sydney,3,5.521460917862246,0,0,9,1.0986122886681098,1.206948960812582,0.6931471805599453,3.258096538021482,2,4.454347296253507,3
794444,Gorgeous Tranquil Home Best location w/parking,,Sydney,-33.86966,151.1898,Apartment,Entire_apt,5,2 baths,2,2,159,7,7,7,1,7,27,31,32,2020-12-15,196,7,94,0,1,1,2.03,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,Apartment,Entire_apt,Sydney,6,5.0689042022202315,0,0,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,5.2832037287379885,3,4.543294782270004,3
